recall,f1,precisionaccuracy,MAE,RETE,accuracy,precision
1.0,0.6779999999999999,,46.619,0.19899999999999998,0.513,0.513
0.0,,,48.195,0.684,0.487,
0.0,,,48.211999999999996,0.879,0.48700000000000004,
1.0,0.6779999999999999,,46.619,0.199,0.513,0.513
0.0,,,48.195,0.684,0.48700000000000004,
0.0,,,48.212,0.879,0.487,
