recall,f1,precisionaccuracy,MAE,RETE,accuracy,precision
0.0,,,47.256,0.107,0.48700000000000004,
0.0,,,48.383,0.741,0.487,
0.0,,,47.778,0.601,0.48700000000000004,
0.0,,,47.256,0.107,0.487,
0.0,,,48.383,0.741,0.48700000000000004,
0.0,,,47.778,0.601,0.487,
