model,appliance,category,experiment,recall,f1,precision,accuracy,MAE,RETE,epochs,hparams
VIBShortFNET,kettle,Single,Train_UKDALE_test_5_UKDALE,0.623,0.653,0.685,0.998,10.078,-0.585,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,kettle,Single,Train_UKDALE_test_5_UKDALE,0.0,,,0.996,26.275,7.572,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,kettle,Single,Train_UKDALE_test_5_UKDALE,0.006,0.012,1.0,0.996,9.766,-0.546,13,{'dropout': 0.25}
VIB_SAED,kettle,Single,Train_UKDALE_test_5_UKDALE,0.653,0.6859999999999999,0.723,0.998,8.479,-0.26,14,{'window_size': 500}
VIBFNET,microwave,Single,Train_UKDALE_test_1_UKDALE,0.0,,,0.997,9.657,3.685,8,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,microwave,Single,Train_UKDALE_test_1_UKDALE,0.131,0.19,0.34600000000000003,0.996,6.914,18.006,7,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,microwave,Single,Train_UKDALE_test_1_UKDALE,0.0,,,0.997,10.280999999999999,0.534,14,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,microwave,Single,Train_UKDALE_test_1_UKDALE,0.496,0.469,0.445,0.996,8.812000000000001,0.8059999999999999,5,{'dropout': 0.25}
VIB_SAED,microwave,Single,Train_UKDALE_test_1_UKDALE,0.312,0.263,0.228,0.9940000000000001,8.75,0.631,8,{'window_size': 500}
VIBFNET,microwave,Single,Train_UKDALE_test_2_UKDALE,0.0,,,0.997,10.126,-2.802,8,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,microwave,Single,Train_UKDALE_test_2_UKDALE,0.128,0.20800000000000002,0.5489999999999999,0.997,7.0360000000000005,-0.956,7,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,microwave,Single,Train_UKDALE_test_2_UKDALE,0.0,,,0.997,10.743,5.7620000000000005,14,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,microwave,Single,Train_UKDALE_test_2_UKDALE,0.196,0.302,0.657,0.997,8.854,-0.633,5,{'dropout': 0.25}
VIB_SAED,microwave,Single,Train_UKDALE_test_2_UKDALE,0.349,0.39299999999999996,0.449,0.996,7.325,-0.069,8,{'window_size': 500}
VIBFNET,television,Single,Train_REFIT_test_14_REFIT,0.07200000000000001,0.131,0.742,0.78,25.353,-0.12300000000000001,13,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,television,Single,Train_REFIT_test_14_REFIT,0.077,0.142,0.8859999999999999,0.785,24.654,-0.08800000000000001,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,television,Single,Train_REFIT_test_14_REFIT,0.075,0.13699999999999998,0.809,0.782,24.453000000000003,-0.055999999999999994,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,television,Single,Train_REFIT_test_14_REFIT,0.057,0.107,0.8270000000000001,0.779,24.329,-0.031,9,{'dropout': 0.25}
VIB_SAED,television,Single,Train_REFIT_test_14_REFIT,0.057,0.107,0.845,0.78,23.456,-0.017,9,{'window_size': 500}
VIBFNET,television,Single,Train_REFIT_test_17_REFIT,0.214,0.281,0.408,0.7440000000000001,26.462,3336.382,13,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,television,Single,Train_REFIT_test_17_REFIT,0.18899999999999997,0.268,0.46,0.759,25.123,4179.726,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,television,Single,Train_REFIT_test_17_REFIT,0.256,0.33899999999999997,0.501,0.7659999999999999,26.47,3638.97,5,"{'window_size': 500, 'dropout': 0}"
VIBWGRU,television,Single,Train_REFIT_test_17_REFIT,0.18600000000000003,0.268,0.48100000000000004,0.763,25.614,4610.57,9,{'dropout': 0.25}
VIB_SAED,television,Single,Train_REFIT_test_17_REFIT,0.242,0.324,0.49,0.764,24.628,3578.6240000000003,9,{'window_size': 500}
VIBFNET,television,Single,Train_REFIT_test_1_UKDALE,0.281,0.374,0.56,0.912,22.693,-0.519,13,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBShortFNET,television,Single,Train_REFIT_test_1_UKDALE,0.259,0.366,0.625,0.9159999999999999,21.938000000000002,-0.43700000000000006,10,"{'depth': 1, 'kernel_size': 5, 'cnn_dim': 128, 'input_dim': 500, 'hidden_dim': 2000, 'dropout': 0}"
VIBSeq2Point,television,Single,Train_REFIT_test_1_UKDALE,0.43700000000000006,0.46299999999999997,0.49200000000000005,0.905,22.076,-0.684,5,"{'window_size': 500, 'dropout': 0}"
